"vtkOriginalPointIds","Points:0","Points:1","Points:2"
6,-61.732,67.902,-44.49
13,-60.915,61.609,-50.075
14,-59.801,65.866,-48.929
15,-57.427,74.456,-48.773
20,-59.237,59.894,-53.749
21,-58.46,66.099,-51.46
24,-56.82,59.783,-51.181
28,-56.643,63.518,-48.477
29,-56.327,78.892,-41.291
30,-58.36,69.426,-50.778
31,-58.646,62.228,-52.086
34,-55.085,67.811,-56.268
36,-55.464,69.806,-47.864
39,-53.046,61.342,-37.1
44,-52.556,74.823,-44.911
46,-53.42,77.007,-43.091
47,-53.673,69.138,-54.177
48,-52.389,73.351,-52.788
51,-53.053,67.507,-40.453
52,-51.846,73.802,-30.026
53,-51.208,77.829,-37.59
54,-52.039,76.608,-52.553
56,-52.084,76.001,-33.513
60,-51.416,73.615,-40.607
61,-52.243,75.239,-48.892
63,-52.219,83.408,-44.571
65,-50.681,79.238,-41.368
66,-52.511,79.607,-44.295
70,-50.499,72.195,-37.005
73,-49.064,69.746,-33.08
80,-49.124,82.384,-44.584
749,44.615,73.992,-18.112
755,51.641,73.06,-27.023
761,48.47,75.47,-20.729
762,48.325,82.951,-24.74
763,53.208,87.526,-36.635
764,48.81,78.452,-23.878
765,50.942,80.843,-28.703
766,49.015,87.619,-28.961
768,50.841,85.576,-38.254
769,51.402,89.438,-30.146
774,52.373,82.775,-34.31
777,52.176,85.078,-30.858
779,53.045,80.195,-42.986
781,54.4,79.696,-35.167
782,55.403,83.832,-34.653
783,54.2,82.315,-39.918
785,54.436,68.052,-29.612
792,56.013,76.94,-36.951
794,57.373,68.205,-34.26
796,57.537,74.394,-39.22
797,57.05,78.634,-39.451
800,57.573,81.395,-39.537
801,59.199,74.49,-42.662
803,59.222,80.491,-33.324
804,58.608,76.951,-40.996
807,60.142,71.595,-38.794
808,59.167,79.506,-37.054
810,60.582,68.159,-32.78
815,61.421,75.21,-38.898
819,63.146,70.953,-27.94
820,63.09,71.337,-33.763
874,56.16,85.561,-30.063
878,55.47,71.962,-34.342
