"vtkOriginalPointIds","Points:0","Points:1","Points:2"
6,-61.732,67.902,-44.49
13,-60.915,61.609,-50.075
14,-59.801,65.866,-48.929
15,-57.427,74.456,-48.773
20,-59.237,59.894,-53.749
21,-58.46,66.099,-51.46
24,-56.82,59.783,-51.181
28,-56.643,63.518,-48.477
29,-56.327,78.892,-41.291
30,-58.36,69.426,-50.778
31,-58.646,62.228,-52.086
34,-55.085,67.811,-56.268
36,-55.464,69.806,-47.864
39,-53.046,61.342,-37.1
44,-52.556,74.823,-44.911
46,-53.42,77.007,-43.091
47,-53.673,69.138,-54.177
48,-52.389,73.351,-52.788
51,-53.053,67.507,-40.453
52,-51.846,73.802,-30.026
53,-51.208,77.829,-37.59
54,-52.039,76.608,-52.553
56,-52.084,76.001,-33.513
60,-51.416,73.615,-40.607
61,-52.243,75.239,-48.892
63,-52.219,83.408,-44.571
65,-50.681,79.238,-41.368
66,-52.511,79.607,-44.295
70,-50.499,72.195,-37.005
73,-49.064,69.746,-33.08
80,-49.124,82.384,-44.584
