"vtkOriginalPointIds","Points:0","Points:1","Points:2"
749,44.615,73.992,-18.112
755,51.641,73.06,-27.023
761,48.47,75.47,-20.729
762,48.325,82.951,-24.74
763,53.208,87.526,-36.635
764,48.81,78.452,-23.878
765,50.942,80.843,-28.703
766,49.015,87.619,-28.961
768,50.841,85.576,-38.254
769,51.402,89.438,-30.146
774,52.373,82.775,-34.31
777,52.176,85.078,-30.858
779,53.045,80.195,-42.986
781,54.4,79.696,-35.167
782,55.403,83.832,-34.653
783,54.2,82.315,-39.918
785,54.436,68.052,-29.612
792,56.013,76.94,-36.951
794,57.373,68.205,-34.26
796,57.537,74.394,-39.22
797,57.05,78.634,-39.451
800,57.573,81.395,-39.537
801,59.199,74.49,-42.662
803,59.222,80.491,-33.324
804,58.608,76.951,-40.996
807,60.142,71.595,-38.794
808,59.167,79.506,-37.054
810,60.582,68.159,-32.78
815,61.421,75.21,-38.898
819,63.146,70.953,-27.94
820,63.09,71.337,-33.763
874,56.16,85.561,-30.063
878,55.47,71.962,-34.342
